# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
1.250000e+00 1.746000e+00 1.638498e+00 6.561000e-02 1.746113e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180187e+01 1.118493e+02 1.746116e-03 1.153684e-01 8.417769e-03
1.250000e+00 2.259000e-02 2.119913e-02 6.561000e-02 5.552989e-17 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.383520e+12 5.553000e-11 9.389350e-02 6.369863e-13
1.250000e+00 5.141000e-01 4.781614e-01 7.516000e-02 3.873305e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180027e+01 2.733099e+04 3.873313e-02 9.997434e-02 6.395701e-04
1.250000e+00 5.848000e-02 5.439190e-02 7.516000e-02 1.923065e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.618094e+09 1.923069e-07 9.807713e-02 1.565565e-09
1.250000e+00 6.746000e-01 6.330646e-01 6.561000e-02 3.551654e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180025e+01 1.307579e+04 3.551661e-02 1.010780e-01 1.271763e-03
1.250000e+00 5.105000e-02 4.748131e-02 7.516000e-02 7.235138e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.322798e+09 7.235153e-08 9.632269e-02 6.526786e-10
1.250000e+00 6.699000e-02 6.230701e-02 7.516000e-02 3.801466e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 7.965138e+08 3.801474e-07 9.641888e-02 3.541481e-09
1.250000e+00 3.420000e-01 3.180922e-01 7.516000e-02 6.183534e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180180e+01 2.102011e+05 6.183547e-03 9.788915e-02 6.819122e-05
1.250000e+00 8.790000e-02 8.248796e-02 6.561000e-02 9.141617e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.724971e+08 9.141635e-07 9.859360e-02 9.772359e-09
1.250000e+00 1.524000e+00 1.417463e+00 7.516000e-02 4.834970e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180159e+01 1.185307e+02 4.834980e-03 1.152271e-01 7.908609e-03
1.250000e+00 4.457000e-02 4.145429e-02 7.516000e-02 3.329798e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.909963e+09 3.329804e-08 9.681584e-02 2.653062e-10
1.250000e+00 1.153000e-01 1.072399e-01 7.516000e-02 1.056114e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.961608e+07 1.056116e-05 9.676455e-02 9.990579e-08
1.250000e+00 3.891000e-02 3.618996e-02 7.516000e-02 1.351753e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.465752e+10 1.351756e-08 9.671443e-02 1.140075e-10
1.250000e+00 2.275000e-01 2.134927e-01 6.561000e-02 2.310649e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180202e+01 3.025175e+06 2.310654e-04 9.568336e-02 3.036597e-06
1.250000e+00 2.588000e-02 2.428656e-02 6.561000e-02 2.102432e-16 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.337830e+11 2.102436e-10 9.387892e-02 2.306828e-12
1.250000e+00 8.790000e-02 8.175527e-02 7.516000e-02 2.104415e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.969729e+08 2.104420e-06 9.744041e-02 1.945663e-08
