# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geom eff_selection eff_total
2.251000e-02 3.888000e-01 4.005507e-03 3.042542e-04 4.302804e-04 8.000000e-04 3.042542e-04 1.597320e+01 1.846745e-07 3.707923e+02 1.300813e-01 2.695887e-02 6.012298e-05
5.789000e-02 8.377000e-02 1.433933e-02 1.867898e-04 2.641607e-04 8.000000e-04 1.867898e-04 1.445665e+01 6.075043e-04 5.003055e+02 9.978716e-02 3.652121e-02 7.302094e-05
6.141000e-01 2.031000e-02 7.075549e-13 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 3.237206e+09 7.076257e-05 2.755158e-02 3.944034e-02 4.762642e-12
4.062000e-02 1.914000e-01 1.988355e-02 1.662141e-04 2.350622e-04 8.000000e-04 1.662141e-04 6.619233e+00 1.699157e-05 5.493251e+02 1.168116e-01 3.342454e-02 6.528927e-05
1.777000e+00 1.805000e-02 2.459943e-06 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 4.143611e+11 2.460189e+02 8.072562e-13 4.391482e-02 9.230125e-04
2.850000e-02 2.572000e-02 4.046101e-04 6.688980e-04 9.459644e-04 8.000000e-04 6.688978e-04 2.432237e+01 4.625614e+05 1.810325e+02 1.375612e-01 4.412545e-02 3.517177e-07
1.108000e+00 8.377000e-02 5.506181e-11 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180148e+01 2.848296e+07 5.506732e-03 2.892388e-02 3.753935e-02 3.273777e-09
6.910000e-01 1.125000e-02 1.051840e-14 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 1.004079e+11 1.051946e-06 3.466810e-02 3.961952e-02 1.097766e-13
2.533000e-02 1.125000e-02 6.093884e-05 2.974789e-03 4.206969e-03 8.000000e-04 2.974776e-03 1.341801e+01 1.793573e+06 5.392705e+02 1.391859e-01 4.301684e-02 4.119356e-08
6.910000e-01 2.154000e-01 1.784315e-07 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.089737e+01 3.593831e+04 1.784494e+01 4.032850e-02 2.015419e-02 2.290069e-06
1.675000e-01 2.424000e-01 1.999686e-04 1.018817e-03 1.440824e-03 8.000000e-04 1.018816e-03 1.914682e+01 7.047149e-06 2.075650e+02 6.229958e-02 1.083923e-02 2.722455e-05
4.571000e-02 1.266000e-02 7.715067e-06 5.808509e-03 8.214333e-03 8.000000e-04 5.808411e-03 1.862071e+01 2.967544e+06 2.602969e+02 1.246111e-01 4.036043e-02 2.016716e-08
5.789000e-02 3.257000e-02 6.969432e-05 2.695092e-03 3.811422e-03 8.000000e-04 2.695083e-03 9.003948e+00 2.617186e+05 5.062263e+02 8.288799e-02 3.859167e-02 3.138057e-07
3.403000e-01 3.257000e-02 1.573971e-09 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179191e+01 2.848304e+07 1.574128e-01 4.557102e-02 4.119821e-02 1.340426e-09
4.571000e-02 5.541000e-01 3.717242e-04 1.108694e-03 1.567929e-03 8.000000e-04 1.108693e-03 2.358933e+01 1.982695e-08 4.569240e+02 1.392910e-01 2.649369e-02 7.555604e-05
5.144000e-02 1.000000e-02 2.950704e-06 1.201835e-02 1.699529e-02 8.000000e-04 1.201749e-02 1.026212e+01 3.795871e+06 4.262021e+02 8.730897e-02 3.797647e-02 1.001280e-08
2.251000e-02 2.154000e-01 3.613627e-02 1.168518e-04 1.652534e-04 8.000000e-04 1.168518e-04 1.258188e+01 7.373805e-06 4.934170e+02 1.504075e-01 3.484441e-02 6.867452e-05
2.687000e-01 7.444000e-02 1.429641e-06 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 2.064336e+01 1.678955e+05 1.429784e+02 4.560501e-02 3.845284e-02 6.067789e-07
1.108000e+00 7.897000e-01 3.003051e-15 1.654817e-06 2.340265e-06 8.000000e-04 1.654817e-06 3.180203e+01 9.494560e+09 8.223614e-15 3.860284e-02 5.029619e-03 2.938722e-12
4.849000e-01 3.257000e-02 1.570212e-10 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180120e+01 1.155277e+08 1.570369e-02 3.770408e-02 4.242123e-02 4.503433e-10
3.403000e-01 3.070000e-01 1.796287e-05 3.860364e-03 5.459338e-03 8.000000e-04 3.860335e-03 1.935448e+01 1.171175e+03 2.676901e+02 4.236575e-02 9.140486e-03 2.630341e-05
9.848000e-01 2.894000e-02 1.782792e-13 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 3.628081e+09 1.782971e-05 3.016581e-02 4.220534e-02 6.956212e-12
