# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events
3.024000e-01 5.223000e-02 8.948153e-05 2.428607e-03 3.434559e-03 1.000000e-02 2.428600e-03 7.911887e+00 1.799225e+05 5.277739e+02
9.848000e-01 8.377000e-02 1.511049e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 2.597985e+17 6.584301e-23
4.062000e-02 9.427000e-02 4.857631e+00 1.002897e-05 1.418311e-05 1.000000e-02 1.002897e-05 7.724816e+00 4.279504e-02 4.885820e+02
9.283000e-02 6.615000e-02 1.654342e-02 1.333228e-04 1.885470e-04 1.000000e-02 1.333228e-04 1.913194e+01 1.110862e+05 2.940590e+02
3.829000e-01 1.701000e-01 1.027080e-03 6.833916e-04 9.664614e-04 1.000000e-02 6.833914e-04 9.227071e+00 1.413137e+04 4.796710e+02
2.000000e+00 4.125000e-02 2.008715e-30 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 6.575939e+27 2.009266e-42
5.144000e-02 1.343000e-01 2.572073e+00 1.339535e-05 1.894389e-05 1.000000e-02 1.339535e-05 9.757633e+00 1.283585e-02 4.615213e+02
7.330000e-02 4.125000e-02 8.056902e-03 1.933034e-04 2.733723e-04 1.000000e-02 1.933034e-04 1.923169e+01 2.583880e+05 3.010559e+02
5.144000e-02 1.701000e-01 2.241202e+00 1.607237e-05 2.272976e-05 1.000000e-02 1.607237e-05 6.711426e+00 4.230370e-03 5.789493e+02
1.323000e-01 4.642000e-02 1.174254e-03 4.358502e-04 6.163851e-04 1.000000e-02 4.358501e-04 2.581404e+01 3.444247e+05 2.230676e+02
3.207000e-02 1.604000e-02 8.467637e-03 2.317980e-04 3.278119e-04 1.000000e-02 2.317980e-04 1.736432e+01 7.889234e+05 4.549689e+02
2.000000e-02 4.924000e-01 1.534891e-01 4.390077e-05 6.208507e-05 1.000000e-02 4.390077e-05 2.078757e+01 3.455649e-06 2.958161e+02
8.249000e-02 1.061000e-01 6.504411e-01 2.677174e-05 3.786095e-05 1.000000e-02 2.677174e-05 1.068300e+01 4.560514e-02 4.661880e+02
3.207000e-02 1.805000e-02 1.439506e-02 1.339734e-04 1.894670e-04 1.000000e-02 1.339734e-04 2.023492e+01 1.223172e+06 2.583751e+02
3.609000e-02 1.266000e-02 3.505882e-03 3.877732e-04 5.483941e-04 1.000000e-02 3.877732e-04 7.106852e+00 1.608635e+06 5.271726e+02
2.388000e-01 3.070000e-01 5.214898e-03 1.483692e-04 2.098258e-04 1.000000e-02 1.483692e-04 2.350763e+01 5.148093e-04 1.147978e+02
3.403000e-01 1.701000e-01 1.374788e-03 4.757255e-04 6.727774e-04 1.000000e-02 4.757255e-04 2.297943e+01 1.739853e+04 3.111347e+02
2.687000e-01 1.701000e-01 3.469374e-03 2.836057e-04 4.010790e-04 1.000000e-02 2.836057e-04 2.215989e+01 1.695052e+04 2.790494e+02
3.207000e-02 1.266000e-02 4.418618e-03 3.194864e-04 4.518220e-04 1.000000e-02 3.194864e-04 1.772304e+01 1.458519e+06 4.510152e+02
1.176000e-01 6.236000e-01 8.431131e-03 1.842040e-04 2.605038e-04 1.000000e-02 1.842040e-04 2.240501e+01 3.344596e-06 2.860778e+02
2.000000e-02 4.642000e-02 2.632687e+01 4.774824e-06 6.752621e-06 1.000000e-02 4.774824e-06 6.425898e+00 3.823114e-01 6.002248e+02
1.885000e-01 1.266000e-02 5.672237e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 4.498644e+18 2.471641e-22
1.777000e+00 3.888000e-01 4.184125e-06 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 1.940343e+01 5.402377e+02 4.183395e+02
6.910000e-01 1.914000e-01 1.113106e-04 1.737781e-03 2.457590e-03 1.000000e-02 1.737778e-03 1.641382e+01 1.391750e+04 3.361448e+02
6.514000e-02 1.343000e-01 1.413961e+00 1.692899e-05 2.394121e-05 1.000000e-02 1.692899e-05 1.759141e+01 1.409012e-02 4.052280e+02
5.457000e-01 1.266000e-02 3.643251e-29 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.369222e+28 3.644252e-41
6.514000e-02 7.897000e-01 3.453145e-03 1.931874e-04 2.732082e-04 1.000000e-02 1.931874e-04 2.960337e+01 4.582050e-07 1.288761e+02
1.045000e-01 7.897000e-01 1.958242e-03 2.017935e-04 2.853791e-04 1.000000e-02 2.017935e-04 3.104565e+01 1.083609e-06 7.974081e+01
4.571000e-02 1.061000e-01 3.615628e+00 1.326162e-05 1.875476e-05 1.000000e-02 1.326162e-05 7.822869e+00 2.169679e-02 6.358826e+02
1.176000e-01 1.604000e-02 8.936945e-05 2.186033e-03 3.091511e-03 1.000000e-02 2.186028e-03 1.093539e+01 1.861298e+06 4.270736e+02
6.514000e-02 1.512000e-01 1.340891e+00 1.921789e-05 2.717820e-05 1.000000e-02 1.921789e-05 1.184112e+01 7.256471e-03 4.952274e+02
2.000000e+00 1.343000e-01 6.015081e-20 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 4.133091e+17 2.621033e-24
1.777000e+00 2.154000e-01 1.168340e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 2.396589e+16 5.090969e-23
1.045000e-01 2.894000e-02 7.700528e-04 5.755100e-04 8.138939e-04 1.000000e-02 5.755099e-04 2.188678e+01 8.323791e+05 2.550505e+02
1.323000e-01 3.665000e-02 7.138386e-04 7.341553e-04 1.038252e-03 1.000000e-02 7.341551e-04 1.576461e+01 4.063427e+05 3.847476e+02
2.388000e-01 1.425000e-02 3.359587e-06 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 1.747462e+01 2.775292e+06 3.359000e+02
2.000000e-02 2.031000e-02 1.515024e+01 5.135410e-06 7.262566e-06 1.000000e-02 5.135410e-06 1.372245e+01 1.330559e+03 3.995487e+02
2.533000e-02 4.642000e-02 1.476572e+01 6.072911e-06 8.588393e-06 1.000000e-02 6.072911e-06 6.870523e+00 4.381985e-01 5.445633e+02
4.309000e-01 9.427000e-02 1.111203e-04 1.694722e-03 2.396696e-03 1.000000e-02 1.694720e-03 1.752413e+01 7.627389e+04 3.191467e+02
6.514000e-02 4.125000e-02 1.730278e-02 1.572198e-04 2.223423e-04 1.000000e-02 1.572198e-04 1.423206e+01 2.248311e+05 4.276911e+02
3.829000e-01 1.194000e-01 3.887135e-04 1.052383e-03 1.488294e-03 1.000000e-02 1.052382e-03 1.235862e+01 3.723046e+04 4.305041e+02
