# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
2.687000e-01 8.377000e-02 2.553894e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.263939e+02 5.868441e+02 2.554149e+06 1.471805e-01
5.144000e-02 5.541000e-01 5.395301e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.274147e+02 3.086213e-10 5.395841e+06 1.000000e+00
2.687000e-01 1.125000e-02 4.796699e-07 1.000049e-02 1.414212e-02 1.000000e-02 9.999988e-03 2.673958e+01 1.461179e+07 4.797167e+01 5.265218e-02
6.514000e-02 1.914000e-01 2.834954e-02 2.152001e-09 3.043389e-09 1.000000e-02 2.152001e-09 3.180203e+01 2.692223e+05 1.312898e-07 1.880471e-02
3.829000e-01 4.375000e-01 6.250097e-04 1.000046e-02 1.414209e-02 1.000000e-02 9.999964e-03 1.624235e+02 2.504676e-07 6.250678e+04 1.000000e+00
4.309000e-01 1.604000e-02 1.003642e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.065032e+01 1.620071e+07 1.003742e+01 7.151569e-02
3.024000e-01 2.728000e-01 5.790829e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.243714e+02 1.249903e+00 5.791408e+05 1.000000e+00
7.776000e-01 2.572000e-02 1.688086e-08 1.000028e-02 1.414182e-02 1.000000e-02 9.999778e-03 3.162001e+01 1.608855e+07 1.688180e+00 9.263387e-02
8.751000e-01 9.427000e-02 1.440574e-05 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.916753e+01 3.860272e+04 1.440718e+03 9.160489e-02
1.045000e-01 1.512000e-01 2.017781e-01 3.604214e-07 5.097129e-07 1.000000e-02 3.604214e-07 3.179917e+01 9.043420e+01 2.621170e-02 7.856988e-01
3.829000e-01 2.572000e-02 4.334856e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 6.665622e+00 9.441426e+05 4.335290e+02 6.699098e-02
