# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geometry eff_selection eff_total
2.000000e+00 3.455000e-01 2.843307e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.444258e+01 1.578406e+03 2.843592e+02 4.559271e-02 1.063412e-02 1.646384e-05
1.777000e+00 1.194000e-01 1.963867e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.996012e+01 2.025164e+05 1.964064e+01 4.342078e-04 3.389707e-02 4.582426e-07
2.850000e-02 1.425000e-02 1.311807e-02 2.207052e-04 3.121242e-04 1.000000e-02 2.207052e-04 5.747038e+00 9.760704e+05 6.389913e+02 1.343264e-05 4.105562e-02 7.650903e-08
9.283000e-02 1.194000e-01 4.676379e-01 3.222924e-05 4.557902e-05 1.000000e-02 3.222924e-05 1.045780e+01 2.797687e-02 4.857465e+02 2.670446e-02 2.517857e-02 5.286033e-05
5.144000e-02 8.377000e-02 2.964953e+00 1.400362e-05 1.980411e-05 1.000000e-02 1.400362e-05 6.888285e+00 6.689640e-02 5.814312e+02 1.902364e-02 3.551834e-02 7.144233e-05
2.850000e-02 8.886000e-01 1.519329e-03 6.011791e-05 8.501957e-05 1.000000e-02 6.011791e-05 3.179635e+01 6.353974e-07 5.491103e+00 1.569426e-02 1.515841e-02 4.602143e-05
1.176000e-01 7.444000e-02 1.209515e-02 2.192174e-04 3.100202e-04 1.000000e-02 2.192174e-04 7.040006e+00 6.456933e+04 5.812477e+02 9.127401e-04 3.844419e-02 2.475513e-06
1.323000e-01 2.728000e-01 6.912786e-02 7.918093e-05 1.119787e-04 1.000000e-02 7.918093e-05 1.296514e+01 3.171733e-04 4.334054e+02 3.010531e-02 1.517359e-02 3.507275e-05
3.207000e-02 5.541000e-01 6.680789e-02 8.388920e-05 1.186372e-04 1.000000e-02 8.388920e-05 1.750144e+01 1.704139e-06 4.701537e+02 1.625552e-02 2.703746e-02 6.910447e-05
1.247000e+00 4.375000e-01 1.307962e-05 6.122407e-03 8.658229e-03 1.000000e-02 6.122292e-03 1.428903e+01 1.839138e+02 4.902747e+02 7.019852e-02 8.196061e-03 1.800313e-05
1.045000e-01 2.894000e-02 1.060240e-03 7.570101e-04 1.070574e-03 1.000000e-02 7.570099e-04 5.895145e+00 4.841144e+05 6.075858e+02 4.937413e-05 4.097660e-02 1.527039e-07
6.141000e-01 7.017000e-01 2.641864e-07 1.000000e-08 1.414214e-08 1.000000e-02 1.000000e-08 3.180203e+01 1.560612e+05 2.641864e-11 1.852423e-03 1.576403e-03 1.472030e-07
2.687000e-01 4.125000e-02 8.622066e-05 2.710592e-03 3.833341e-03 1.000000e-02 2.710582e-03 5.956524e+00 2.893185e+05 6.334897e+02 1.113216e-04 4.028997e-02 2.241058e-07
8.751000e-01 7.444000e-02 3.781774e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 9.007241e+00 1.261044e+05 3.782152e+02 4.452302e-04 3.900570e-02 5.993670e-07
3.024000e-01 2.285000e-02 9.160693e-06 8.229808e-03 1.163831e-02 1.000000e-02 8.229529e-03 6.892837e+00 9.804709e+05 6.204514e+02 1.810521e-05 4.077363e-02 3.510840e-08
4.571000e-02 9.427000e-02 3.935259e+00 1.216077e-05 1.719792e-05 1.000000e-02 1.216077e-05 6.562927e+00 3.889442e-02 5.819628e+02 1.722459e-02 3.691748e-02 7.317035e-05
5.789000e-02 1.000000e-02 3.463096e-04 1.315415e-03 1.860276e-03 1.000000e-02 1.315414e-03 6.484688e+00 3.243432e+06 5.992255e+02 2.629026e-06 4.054334e-02 1.057116e-08
6.141000e-01 8.886000e-01 8.391946e-07 1.000000e-08 1.414214e-08 1.000000e-02 1.000000e-08 3.180203e+01 1.998284e+04 8.391946e-11 1.115874e-02 2.563668e-03 1.753062e-06
2.251000e-02 3.888000e-01 6.245032e-01 2.895260e-05 4.094515e-05 1.000000e-02 2.895260e-05 1.235891e+01 2.040348e-05 5.234915e+02 1.416974e-02 3.219186e-02 6.836791e-05
6.910000e-01 2.285000e-02 2.225023e-08 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.158441e+01 1.815136e+07 2.225246e+00 9.585311e-07 4.091695e-02 1.491101e-09
2.000000e-02 2.285000e-02 1.966716e+01 5.599993e-06 7.919586e-06 1.000000e-02 5.599993e-06 7.759647e+00 1.530972e+01 6.167606e+02 9.192279e-03 3.704485e-02 5.396016e-05
2.388000e-01 1.000000e+00 5.846136e-05 1.000000e-08 1.414214e-08 1.000000e-02 1.000000e-08 3.180203e+01 1.141951e+03 5.846136e-09 2.141377e-02 1.318181e-02 3.149404e-05
2.000000e+00 7.444000e-02 5.150548e-09 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.175179e+01 3.458836e+06 5.151063e-01 1.594199e-05 3.860001e-02 1.844040e-08
2.251000e-02 3.070000e-01 1.792664e+00 1.709277e-05 2.417283e-05 1.000000e-02 1.709277e-05 1.080580e+01 1.189112e-04 5.237497e+02 1.296555e-02 3.349577e-02 6.709367e-05
5.789000e-02 5.878000e-02 1.629239e+00 1.872298e-05 2.647829e-05 1.000000e-02 1.872298e-05 9.311259e+00 3.516772e+01 5.711298e+02 1.589015e-02 3.228508e-02 5.069788e-05
2.122000e-01 7.444000e-02 1.239545e-03 6.997415e-04 9.895836e-04 1.000000e-02 6.997413e-04 6.346417e+00 8.274787e+04 6.069283e+02 6.991452e-04 3.879489e-02 1.513308e-06
4.571000e-02 8.886000e-01 1.377865e-03 9.879309e-05 1.397145e-04 1.000000e-02 9.879309e-05 3.176857e+01 6.052635e-07 1.344806e+01 1.681870e-02 1.566018e-02 4.833996e-05
1.403000e+00 6.236000e-01 3.696706e-06 8.477457e-03 1.198850e-02 1.000000e-02 8.477153e-03 2.598091e+01 2.484024e+01 2.656722e+02 1.115683e-01 5.372930e-03 1.911892e-05
4.571000e-02 4.642000e-02 3.593628e+00 1.179384e-05 1.667901e-05 1.000000e-02 1.179384e-05 1.139117e+01 1.099875e+02 4.998546e+02 1.723805e-02 3.459407e-02 6.323923e-05
7.330000e-02 4.642000e-02 1.772774e-02 1.886935e-04 2.668528e-04 1.000000e-02 1.886935e-04 5.976956e+00 1.395023e+05 6.312002e+02 2.797276e-04 4.011275e-02 9.873039e-07
2.251000e-02 2.285000e-02 1.735242e+01 5.538705e-06 7.832911e-06 1.000000e-02 5.538705e-06 8.892902e+00 1.070334e+03 5.323244e+02 1.129214e-02 3.624930e-02 6.094520e-05
6.514000e-02 1.000000e-02 2.298080e-04 1.626487e-03 2.300197e-03 1.000000e-02 1.626485e-03 7.331284e+00 3.413769e+06 6.079479e+02 2.504210e-06 4.052036e-02 9.359874e-09
1.675000e-01 2.728000e-01 2.421295e-02 1.151055e-04 1.627838e-04 1.000000e-02 1.151055e-04 1.694537e+01 3.039409e-04 3.208043e+02 3.554839e-02 9.694618e-03 2.351802e-05
1.777000e+00 6.236000e-01 1.462457e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.678034e+01 4.836011e+01 1.462603e+02 1.110689e-01 5.544935e-03 1.803148e-05
5.144000e-02 1.266000e-02 1.069672e-03 7.527665e-04 1.064572e-03 1.000000e-02 7.527663e-04 6.409395e+00 1.840653e+06 6.061376e+02 6.003402e-06 4.093328e-02 2.444235e-08
2.388000e-01 1.125000e-02 1.169899e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.212933e+01 9.112089e+06 1.170016e+02 9.689959e-07 4.097391e-02 2.060302e-09
1.176000e-01 4.924000e-01 2.927153e-02 1.169415e-04 1.653803e-04 1.000000e-02 1.169415e-04 1.616230e+01 1.696305e-05 4.002975e+02 2.791315e-02 2.219243e-02 6.112505e-05
5.144000e-02 4.125000e-02 4.767354e-02 1.124544e-04 1.590346e-04 1.000000e-02 1.124544e-04 6.861583e+00 1.345000e+05 6.028795e+02 2.651220e-04 4.041697e-02 1.089916e-06
7.776000e-01 7.444000e-02 7.402001e-06 8.761514e-03 1.239018e-02 1.000000e-02 8.761178e-03 7.241156e+00 1.023209e+05 5.682082e+02 5.528113e-04 3.920885e-02 7.609108e-07
9.848000e-01 3.455000e-01 4.980374e-05 3.063431e-03 4.332325e-03 1.000000e-02 3.063417e-03 1.197380e+01 9.299229e+02 4.673886e+02 4.781130e-02 1.075351e-02 2.052015e-05
9.283000e-02 3.257000e-02 2.296113e-03 5.085985e-04 7.192668e-04 1.000000e-02 5.085984e-04 6.133082e+00 3.585436e+05 5.939411e+02 7.485583e-05 4.069258e-02 2.400040e-07
