# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
1.250000e+00 4.488000e-01 4.244855e-01 5.728000e-02 2.165265e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.105817e+01 1.206238e+03 2.165269e+01 3.046549e-02 9.731506e-02 2.964751e-03
1.250000e+00 6.699000e-02 6.286540e-02 6.561000e-02 3.943486e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180190e+01 9.756833e+06 3.943493e-03 2.815945e-06 9.693930e-02 2.729758e-07
1.250000e+00 1.007000e-01 9.449986e-02 6.561000e-02 4.370832e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180068e+01 1.188539e+06 4.370841e-02 3.497508e-05 9.637481e-02 3.370717e-06
1.250000e+00 1.746000e+00 1.638498e+00 6.561000e-02 3.472277e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.176993e+01 7.157916e-01 3.472284e-01 9.145212e-01 1.154228e-01 1.055566e-01
1.250000e+00 4.457000e-02 4.182581e-02 6.561000e-02 2.824066e-10 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180202e+01 8.808773e+07 2.824072e-04 2.024005e-07 9.698816e-02 1.963045e-08
1.250000e+00 7.727000e-01 7.308376e-01 5.728000e-02 1.318859e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.118020e+01 7.952605e+01 1.318862e+01 9.251321e-02 1.003039e-01 9.279437e-03
1.250000e+00 3.918000e-01 3.676767e-01 6.561000e-02 3.282040e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.052979e+01 1.269149e+03 3.282047e+01 3.067845e-02 9.841962e-02 3.019361e-03
1.250000e+00 1.986000e-01 1.863721e-01 6.561000e-02 2.522980e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.172483e+01 3.831865e+04 2.522986e+00 2.013736e-03 9.628362e-02 1.938898e-04
1.250000e+00 7.674000e-02 7.201509e-02 6.561000e-02 8.122113e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180179e+01 4.803687e+06 8.122129e-03 6.488464e-06 9.603501e-02 6.231197e-07
1.250000e+00 1.514000e-01 1.431976e-01 5.728000e-02 1.844566e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179713e+01 2.834792e+05 1.844569e-01 2.072031e-04 9.495877e-02 1.967575e-05
