# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_selection eff_total
5.789000e-02 2.572000e-02 6.420222e-03 3.148895e-04 4.453210e-04 1.000000e-02 3.148895e-04 5.729169e+00 4.384719e+05 6.365995e+02 4.033902e-02 1.941648e-07
8.249000e-02 1.000000e-02 9.705475e-05 2.501764e-03 3.538018e-03 1.000000e-02 2.501756e-03 6.054229e+00 3.731219e+06 6.074485e+02 4.029497e-02 7.284620e-09
5.789000e-02 7.017000e-01 9.039376e-03 1.857109e-04 2.626349e-04 1.000000e-02 1.857109e-04 2.564798e+01 5.579807e-07 3.117549e+02 2.226165e-02 6.612998e-05
1.777000e+00 8.886000e-01 5.283924e-17 6.601087e-09 9.335346e-09 1.000000e-02 6.601087e-09 3.180203e+01 1.729153e+13 2.302435e-21 4.719223e-03 3.240905e-15
7.776000e-01 9.427000e-02 1.466031e-05 6.287655e-03 8.891911e-03 1.000000e-02 6.287530e-03 7.139467e+00 6.079511e+04 5.795895e+02 3.690170e-02 1.528114e-06
4.062000e-02 1.000000e-02 1.194044e-03 7.091008e-04 1.002820e-03 1.000000e-02 7.091006e-04 6.812718e+00 2.653686e+06 6.003937e+02 4.060271e-02 1.566248e-08
4.571000e-02 2.285000e-02 1.033745e-02 2.421812e-04 3.424960e-04 1.000000e-02 2.421812e-04 6.777599e+00 5.018809e+05 6.063096e+02 4.128180e-02 1.788491e-07
9.848000e-01 1.000000e-02 8.834609e-32 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 4.791336e+29 8.837035e-44 4.122556e-02 2.131361e-32
3.609000e-02 1.805000e-02 1.166495e-02 2.339290e-04 3.308256e-04 1.000000e-02 2.339290e-04 5.836200e+00 6.816685e+05 6.383386e+02 4.087842e-02 1.167924e-07
3.207000e-02 6.236000e-01 2.861692e-02 1.195020e-04 1.690013e-04 1.000000e-02 1.195020e-04 2.180621e+01 5.891482e-07 4.086703e+02 2.404546e-02 6.529261e-05
4.062000e-02 1.194000e-01 4.696068e+00 1.117303e-05 1.580106e-05 1.000000e-02 1.117303e-05 6.953023e+00 1.599631e-02 5.862417e+02 3.795468e-02 7.290423e-05
1.108000e+00 6.615000e-02 1.298508e-19 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 1.346746e+18 5.658165e-24 3.993705e-02 4.898711e-20
2.251000e-02 4.924000e-01 1.621712e-01 5.540265e-05 7.835119e-05 1.000000e-02 5.540265e-05 1.568146e+01 2.742978e-06 4.977770e+02 2.795197e-02 6.787733e-05
7.330000e-02 2.154000e-01 7.254288e-01 2.698435e-05 3.816164e-05 1.000000e-02 2.698435e-05 8.813651e+00 1.521120e-03 5.282248e+02 3.021822e-02 6.449355e-05
1.403000e+00 9.427000e-02 3.435180e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 2.859244e+01 2.565749e+05 3.434580e+01 3.737694e-02 3.210827e-07
3.207000e-02 3.257000e-02 1.071137e+01 6.895842e-06 9.752194e-06 1.000000e-02 6.895842e-06 1.009706e+01 4.551693e+02 5.093539e+02 3.542798e-02 8.233380e-05
1.579000e+00 4.375000e-01 5.423276e-06 9.590657e-03 1.356261e-02 1.000000e-02 9.590216e-03 1.452907e+01 1.986265e+02 4.988367e+02 7.839690e-03 1.776839e-05
2.251000e-02 8.886000e-01 1.541811e-03 3.812410e-05 5.391561e-05 1.000000e-02 3.812410e-05 3.180105e+01 9.856250e-07 2.240940e+00 1.523699e-02 4.462432e-05
1.403000e+00 5.541000e-01 5.428059e-06 8.054899e-03 1.139098e-02 1.000000e-02 8.054638e-03 2.097386e+01 5.112948e+01 3.521801e+02 6.108786e-03 1.960642e-05
1.323000e-01 2.424000e-01 7.879974e-02 7.574086e-05 1.071137e-04 1.000000e-02 7.574086e-05 1.195069e+01 5.402089e-04 4.520487e+02 1.485831e-02 3.465118e-05
7.330000e-02 6.615000e-02 6.001293e-02 9.851637e-05 1.393232e-04 1.000000e-02 9.851637e-05 6.430459e+00 5.296411e+04 5.824540e+02 3.856294e-02 3.402353e-06
7.330000e-02 1.061000e-01 1.051617e+00 2.226803e-05 3.149175e-05 1.000000e-02 2.226803e-05 8.848290e+00 3.369783e-02 5.214602e+02 3.053235e-02 6.271815e-05
4.849000e-01 1.000000e+00 5.144798e-09 2.294220e-10 3.244517e-10 1.000000e-02 2.294220e-10 3.180203e+01 1.030268e+07 2.707937e-16 7.234798e-03 1.238561e-08
3.024000e-01 2.031000e-02 2.856006e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 2.753811e+18 1.244486e-22 4.124482e-02 1.094101e-20
2.251000e-02 3.070000e-01 1.815545e+00 1.704850e-05 2.411022e-05 1.000000e-02 1.704850e-05 1.075316e+01 1.195322e-04 5.276905e+02 3.304682e-02 6.861407e-05
1.579000e+00 4.924000e-01 4.525930e-06 9.832296e-03 1.390429e-02 1.000000e-02 9.831821e-03 1.608837e+01 1.032761e+02 4.375399e+02 7.092228e-03 1.877870e-05
3.207000e-02 1.914000e-01 4.633707e+00 1.069985e-05 1.513187e-05 1.000000e-02 1.069985e-05 9.029716e+00 2.547473e-03 5.304979e+02 3.668748e-02 7.154722e-05
8.249000e-02 8.886000e-01 1.020008e-03 1.136712e-04 1.607553e-04 1.000000e-02 1.136712e-04 3.177089e+01 1.489254e-06 1.317967e+01 1.666630e-02 5.374583e-05
2.251000e-02 1.701000e-01 9.416436e+00 7.567978e-06 1.070274e-05 1.000000e-02 7.567978e-06 8.529921e+00 3.569227e-03 5.393196e+02 3.672863e-02 6.911846e-05
9.848000e-01 4.642000e-02 9.044015e-08 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 3.095422e+01 2.154531e+06 9.042437e+00 4.071313e-02 2.185706e-08
5.789000e-02 1.425000e-02 1.035751e-03 7.835213e-04 1.108066e-03 1.000000e-02 7.835211e-04 5.955893e+00 1.502059e+06 6.358533e+02 4.044148e-02 3.140388e-08
